Target Domain,Source Domain,GPT3 Completion,Example
intoxication,destruction,"In the sentence above, wrecked is used to describe someone's state. This term is associated with drinking alcohol, indicating that the person is heavily intoxicated. 
Source Domain: intoxication/alcohol consumption",He was wrecked.
intoxication,destruction,"In the sentence above, the word ""thrashed"" is used to describe the state of the person, which implies that they are so intoxicated that they have lost control of their physical movements. Therefore, the state of being drunk or intoxicated is being metaphorically compared to a physical action or force that can create chaos and turmoil. 
Source Domain: physical force or action.",He got thrashed.
amount,size,"In the sentence above, a twenty is used to refer to a $20 bill. The verb “to break” is usually used in reference to physical objects like breaking a stick into two or breaking a vase. Here, it is used metaphorically to mean dividing an amount of money into smaller denominations. 
Source Domain: division of physical objects.",Can you break a twenty?
amount,size,"In the sentence above, the person refers to themselves as being a ""big"" eater, or someone who eats a large amount of food. Thus, the amount of food someone eats is being compared to their physical size or power. 
Source Domain: physical size or power",I'm not a big eater.
beliefs,plants,"In the sentence above, belief is described as something that can be planted, like a physical object or a seed. This implies that beliefs can be nurtured, grown, and can take root in a person's mind. 
Source Domain: planting/growing a physical object or a seed.",I planted the belief in his mind.
beliefs,plants,"In the sentence above, the word ""flourishing"" is used to describe a belief, suggesting that beliefs can grow and develop like living organisms. 
Source Domain: plant growth or life",This is a flourishing belief in this culture.'
success,goal,"In the sentence above, progress towards solving a problem is described as physical movement or travel, indicating that success in the problem-solving process is associated with reaching a destination. 
Source Domain: travel or journey",We've made it this far in our efforts to solve the problem.
success,goal,"In the above sentence, solving the puzzle is associated with going on a journey and having a destination. The metaphor is using the concept of a physical journey to describe the process of achieving success in solving a puzzle.
Source Domain: journey/destination.",We only have a short ways to go on solving this puzzle.
subjects,areas,"In the sentence above, the new material is being surveyed, as though it were a group of people or objects being studied in a survey. This suggests that the material is being treated as a subject of research. 
Source Domain: survey research",The researchers surveyed the new material.
subjects,areas,"In the above sentence, the dissertation is being compared to the act of exploring new and untrodden territory. The phrase “virgin territory” refers to an area that has not been explored or claimed previously. Thus, the dissertation is being talked about as a territory that needs to be claimed or explored. 
Source Domain: exploration/colonization of new territory","Your dissertation should stake out new territory, preferably virgin territory."
disgust,nausea,"In the sentence above, the speaker expresses that the person they are addressing makes them feel physically ill. This is a metaphorical expression of disgust, where the feeling of disgust is compared to a physical illness. 
Source Domain: illness",You make me sick!
disgust,nausea,"In the sentence above, the person is described as nauseating, which is a feeling of disgust. Thus, the person is being compared metaphorically to something that is disgusting. 
Source Domain: disgust",She's a nauseating person.
emotion,object,"In the above sentence, the word ""shattered"" is used to describe the extent to which the woman was affected by the death of her loved one. The word shattered is a physical verb that is used to describe something that breaks into pieces. Thus, the sentence uses a physical experience to describe an emotional one. 
Source Domain: physical damage or destruction",She was shattered by his death.
emotion,object,"In the sentence above, ""fell apart"" is used to express a strong emotional response. Falling apart is a metaphorical way of describing feeling overwhelmed or losing control. 
Source Domain: destruction or disintegration",She fell apart.
mind,object,"In the sentence above, ""cracked up"" is used to describe what happened to him. The verb ""cracked"" suggests that something has broken or shattered, and when this expression is applied to a person, it implies that their mind or emotions have shattered in some way. 
Source Domain: breaking or shattering something physical.",He cracked up.
mind,object,"In the sentence above, the mind is compared to a fragile object. Fragile objects can be easily broken or damaged, thus the mind in the sentence is described as something that can also be easily damaged. 
Source Domain: fragility in physical objects",He's mentally fragile.
opportunities,object,"In the sentence above, opportunities are described as something that can pass by, just like a physical object that is moving and can be missed if not caught at the right moment.
Source Domain: movement/location",Don't let the opportunity pass you by.
opportunities,object,"In the above sentence, job opportunities are talked about as something that you can take physically, like an object. 
Source Domain: taking physical objects.",I took the job when it became available.
problem,object,"In the sentence above, the problem is described as something that has a ""make-up"", just like a physical object, such as a person or a painting. This suggests that the problem is seen as a composition of different elements. 
Source Domain: composition of physical objects.",Let's look at the make-up of this problem.
problem,object,"In the sentence above, the problem is described as a physical object that can be torn apart. This implies that the problem has physical properties, such as being solid and tangible. 
Source Domain: physical object destruction.",He tore the problem apart looking for its solution.
morality,accounting,"In the above sentence, mistakes are being treated as a debt that needs to be repaid. Thus, the sentence is using the source domain of finance and money to understand the concept of morality. 
Source Domain: finance/money",You have to pay for your mistakes.
morality,accounting,"In the sentence above, actions are described as something that can be made up for, implying a sense of wrongdoing or moral obligation. Thus, it involves the concept of morality. 
Source Domain: debt repayment or compensation",I'll make it up to everyone for what I've done.
relationship,musical harmony,"In the sentence above, the relationship is described as harmonious. Harmony is an abstract concept that is usually used to describe the way musical notes are combined to create a pleasing sound. Here, it is being used to describe how two people interact with each other in a positive way. 
Source Domain: music",They had a harmonious relationship.
relationship,musical harmony,"In the above sentence, the phrase ""out of tune"" is being used to describe a relationship between two entities, suggesting a lack of alignment or compatibility. This metaphor relies on the physical analogy of musical instruments being in tune or out of tune with each other. 
Source Domain: music",They are out of tune with each other.
harm,path,"In the sentence above, the hindrances and obstacles thrown in the way of learning are referred to as roadblocks. Roadblocks are physical entities used to stop the progress of vehicles and travelers. Thus, they are treated as something that causes harm or damage to the individual trying to move forward.
Source Domain: harm or damage",How am I supposed to learn anything if the school keeps placing roadblocks in my way?
harm,path,"In the sentence above, the unwanted baby is causing a negative effect, making it hard to reach the top. The unwanted baby is thus seen as a burden or weight that is causing harm.
Source Domain: burden/weight",It's hard to reach the top when you're saddled with an unwanted baby.
morality,path,"In the sentence above, being straight is used to describe honesty. The concept of being straight or not deviating from a specific path is used to describe moral behavior. 
Source Domain: direction/movement",I think he's being straight with me.
morality,path,"In the sentence above, straying implies going off course or deviating from a prescribed path. This implies a moral aspect of behavior that is expected or accepted. 
Source Domain: physical movement or direction.",She has strayed.
creation,plants,"In the above sentence, doubt is being described as something that is being planted, like a seed. Thus, it is a concept that is being created or grown. 
Source Domain: gardening/horticulture",He planted seeds of doubt in my mind.
creation,plants,"In the sentence above, China is described as a place where revolt can grow, just like plants grow on fertile ground. The notion of growth and development is applied to abstract concept of social and political movements.
Source Domain: agriculture/horticulture",China is a fertile ground for revolt.
people,plants,"In the above sentence, a person is described as a blooming flower that develops and grows at a later stage than usual. This is a metaphorical comparison between the growth and development of a flower and that of a person. 
Source Domain: plants/gardening",She's a late bloomer.
people,plants,"In the sentence above, the grim reaper is described as a person. However, the grim reaper is not an actual person, but rather a representation of the concept of death. Therefore, the metaphorical mapping is from the abstract concept of death to the concrete concept of a person.
Source Domain: personification of death.",The grim reaper.
time,moving object,"In the sentence above, Thursday is treated as a period of time that can pass without incident. This implies that time is a physical entity that moves or progresses. 
Source Domain: motion or movement",Thursday passed without incident.
time,moving object,"In the above sentence, time is being talked about as a physical space that can be moved through. The phrase ""up ahead"" is usually used to describe a physical location that is ahead in space and can be reached by moving in that direction. 
Source Domain: physical space/movement",What events are up ahead?
schedule,moving object,"In the sentence, schedule is being described as something that is moving, or that it is ahead of the person. The person has to catch up to it, as if it is a physical entity. 
Source Domain: motion/movement",He finally caught up to schedule.
schedule,moving object,"In the sentence above, schedule is being treated as a moving object that the class is trying to keep up with, just like people have to run to keep up with a moving object. 
Source Domain: movement",The class was trying to keep up with the schedule.
causation,money,"In the sentence above, experience is presented as the cause of the profit. This represents a cause-and-effect relationship between the two entities. 
Source Domain: cause-and-effect relationship",He profitted from experience.
causation,money,"In the above sentence, there’s a clear cause and effect relationship between reckless skiing and the loss of a leg. Thus, causation is being talked about metaphorically as an action that has consequences, like when you carry out an action and it leads to a specific outcome. 
Source Domain: action and consequence",Reckless skiing cost her a leg.
states,locations,"In the sentence above, the use of the verb “to be” implies a state that the subject is in. Being in love refers to a state of mind, thus, emotions are being talked about as states. 
Source Domain: states of being",He is in love.
states,locations,"In the above sentence, the progress in studies is described as being at a particular stage. This is a metaphorical use of the word stage, which refers to a phase or level in a process.
Source Domain: process or progression",He is at a certain stage in his studies.
beliefs,lovers,"In the above sentence, ""belief"" is described as something that can be flirted with, just like a person in a romantic relationship. This implies that beliefs may be unstable and temporary choices. 
Source Domain: romantic relationship/dating",He flirted with a belief in utter hedonism in his youth.
